City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,east end,34.5507,-92.341,281.35,73,0,2.11,US,1702358331
237,turpan,42.9333,89.1667,275.88,45,87,1.21,CN,1702358331
238,stornoway,58.2093,-6.3865,279.28,82,20,6.17,GB,1702358332
239,san patricio,28.017,-97.5169,291.07,61,99,2.6,US,1702358332
240,nema,57.5067,50.5011,253.63,80,100,6.41,RU,1702358332
241,ushibukamachi,32.1906,130.0228,291.27,82,90,3.43,JP,1702358333
242,pindi bhattian,31.8978,73.273,291.12,20,0,2.67,PK,1702358333
243,anadyr,64.75,177.4833,247.59,75,30,4.0,RU,1702358333
244,izluchinsk,60.9794,76.9242,244.26,92,100,3.3,RU,1702358334
245,fada,9.5667,8.3,289.4,27,15,3.57,NG,1702358334
246,nuku'alofa,-21.1333,-175.2,301.34,69,40,3.6,TO,1702358334
247,xiangcheng chengguanzhen,33.847,113.4778,275.57,72,14,1.62,CN,1702358334
248,betio village,1.358,172.9211,301.71,71,98,1.21,KI,1702358335
249,mendoza,-32.8908,-68.8272,299.89,39,20,2.06,AR,1702358128
250,acajutla,13.5928,-89.8275,300.95,60,35,4.4,SV,1702358335
251,jinchang,38.4953,102.1739,282.94,12,42,0.82,CN,1702358336
252,pandan,14.0453,124.1694,302.05,75,40,4.18,PH,1702358336
253,ibotirama,-12.1853,-43.2206,296.04,54,48,0.92,BR,1702358336
254,harstad,68.799,16.5293,271.01,91,58,2.38,NO,1702358337
255,manavalakurichi,8.1333,77.3,301.72,65,99,4.21,IN,1702358337
256,aldinga beach,-35.2793,138.4604,297.74,70,89,3.32,AU,1702358337
257,tombodu,8.1333,-10.6167,290.95,65,13,0.8,SL,1702358337
258,lazaro cardenas,17.9583,-102.2,297.97,62,5,1.98,MX,1702358215
259,naryshkino,52.9678,35.7268,271.03,98,100,5.82,RU,1702358338
260,argostolion,38.1811,20.489,284.68,63,75,2.17,GR,1702358338
261,mazamari,-11.3258,-74.5308,295.7,91,91,0.84,PE,1702358339
262,rabo de peixe,37.8,-25.5833,286.88,72,20,3.6,PT,1702358339
263,alto araguaia,-17.3147,-53.2153,294.11,93,56,2.15,BR,1702358339
264,humaita,-7.5061,-63.0208,297.06,98,98,1.68,BR,1702358339
265,kassala,15.451,36.4,298.65,44,3,2.22,SD,1702358340
266,merelani,-3.5618,36.979,295.1,78,85,1.7,TZ,1702358340
267,punta arenas,-53.15,-70.9167,280.21,76,0,8.23,CL,1702358340
268,lobujya,27.95,86.8167,261.48,56,0,3.43,NP,1702358341
269,veraval,20.9,70.3667,298.53,29,100,2.75,IN,1702358341
270,carnarvon,-24.8667,113.6333,303.61,38,0,6.3,AU,1702358342
271,qaqortoq,60.7167,-46.0333,273.15,95,100,3.91,GL,1702358342
272,thompson,55.7435,-97.8558,258.24,72,75,7.72,CA,1702358260
273,panacan,9.2463,118.4082,302.73,70,16,5.97,PH,1702358343
274,dul'durga,50.6761,113.5931,252.03,75,31,0.38,RU,1702358343
275,balqash,46.8481,74.995,254.48,50,0,12.0,KZ,1702358343
